epoch,loss,f1,accuracy,precision,recall,lr
1,0.5041653554450926,0.8655660377358491,0.863961813842482,0.9099173553719008,0.8253373313343328,0.0001
2,0.4264881682293986,0.9019881409138473,0.8882259347653142,0.8434442270058709,0.9692653673163418,0.0001
3,0.3729970385553871,0.9251396648044693,0.9200477326968973,0.9193190229459659,0.9310344827586207,0.0001
4,0.3572626448715774,0.896579476861167,0.8977724741447892,0.9678540399652477,0.8350824587706147,0.0001
5,0.3359250073906852,0.9174664107485605,0.9144789180588703,0.9402045633359559,0.8958020989505248,0.0001
6,0.3406052697592918,0.9440298507462687,0.9403341288782816,0.9398216939078752,0.9482758620689655,0.0001
7,0.3185317337553442,0.9369573423933559,0.9335719968178202,0.9437262357414449,0.9302848575712144,0.0001
8,0.29276829252737097,0.946776611694153,0.94351630867144,0.946776611694153,0.946776611694153,0.0001
9,0.29381008700945715,0.9345146379044684,0.9323786793953859,0.9611727416798732,0.9092953523238381,0.0001
10,0.2962253972766762,0.9385065885797951,0.9331742243436754,0.9170243204577968,0.9610194902548725,0.0001
