threshold,val_dice,used_tta
0.1,0.7307473046193576,False
0.12000000000000001,0.7326213339770848,False
0.14,0.7341945926484214,False
0.16000000000000003,0.7354998944256018,False
0.18000000000000002,0.7365843287811742,False
0.2,0.7374970068469207,False
0.22000000000000003,0.7382820163507532,False
0.24000000000000002,0.7413205655344359,False
0.26,0.7418957900278739,False
0.28,0.7424090289642609,False
0.30000000000000004,0.7428781969548284,False
0.32000000000000006,0.7432849052028305,False
0.3400000000000001,0.7460677553381524,False
0.3600000000000001,0.7464128052043258,False
0.38,0.7467317945755811,False
0.4,0.7470112121172549,False
0.42000000000000004,0.7472789602004495,False
0.44000000000000006,0.7475180517147249,False
0.4600000000000001,0.7477268744540749,False
0.4800000000000001,0.7479191912589932,False
0.5000000000000001,0.7480726396473678,False
0.5200000000000001,0.7482194396995451,False
0.54,0.7483560163460309,False
0.56,0.7484918235733143,False
0.5800000000000001,0.7485980530626225,False
0.6000000000000001,0.7486956844752367,False
