epoch,loss,val_dice,lr
1,0.3307257631161549,0.6558651507168073,0.0001
2,0.27844743423902235,0.6837670452926191,0.0001
3,0.26629879226063463,0.6999534212153055,0.0001
4,0.2517591588109642,0.6796484582894586,0.0001
5,0.2461205547502091,0.7008442229219616,0.0001
6,0.2397284896166117,0.697403429468651,0.0001
7,0.23933916809680583,0.7116871839681549,0.0001
8,0.2324955475379576,0.7080907422063597,0.0001
9,0.22726391593704712,0.7177584546831156,0.0001
10,0.21998494996636123,0.6931911646785223,0.0001
11,0.2206156524205888,0.7195051753467508,0.0001
12,0.2180657261820348,0.6933540243471684,0.0001
13,0.21748418115951992,0.7246084996403066,0.0001
14,0.21023207245109318,0.6759106011668663,0.0001
15,0.21219557589731058,0.7228181070811011,0.0001
16,0.21044014911125372,0.7276671171990211,0.0001
17,0.20924494703029012,0.7136903779389078,0.0001
18,0.2057453669920877,0.7103435184656237,0.0001
19,0.19966365744893974,0.7207485037801512,5e-05
20,0.18913402691953354,0.747120568436892,5e-05
